Models,Architecture,Training dataset,Spatial Frequency - Gabor Achromatic,Spatial Frequency - Noise Achromatic,Spatial Frequency - Gabor RG,Spatial Frequency - Gabor YV,Luminance,Area,Phase-Coherent Masking,Phase-Incoherent Masking,Contrast Matching,Params_All_MB,Params_Forward_MB,GFlops
No Encoder,,,0.4688,0.4594,0.5235,0.6582,0.4188,0.8981,0.5057,0.6746,0.2657,0,0,0
DINO,ResNet-50,ImageNet,0.3428,0.2506,0.2795,0.3359,0.5623,0.961,0.3716,0.8913,0.6803,23.51,23.51,4.13
DINO,ViT-S/16,ImageNet,0.4769,0.4951,0.5316,0.4517,0.426,0.9686,0.4556,0.8844,0.3238,21.67,21.59,4.25
DINO,ViT-S/8,ImageNet,0.4129,0.4248,0.4211,0.4114,0.4048,0.9358,0.3504,0.6262,0.4178,21.67,21.37,16.76
DINO,ViT-B/16,ImageNet,0.5281,0.4883,0.6148,0.4699,0.4554,0.9584,0.4246,0.6351,0.4264,85.8,85.65,16.86
DINO,ViT-B/8,ImageNet,0.4213,0.4446,0.4398,0.4184,0.3655,0.8929,0.4039,0.4761,0.4283,85.81,85.2,66.85
DINO,Xcit-S-12/16,ImageNet,0.5721,0.4783,0.5312,0.4315,0.4436,0.9418,0.5431,0.712,0.3239,25.87,25.85,4.79
DINO,Xcit-S-12/8,ImageNet,0.4337,0.3961,0.3862,0.3064,0.4373,0.8409,0.425,0.7618,0.5117,25.83,25.81,18.57
DINO,Xcit-M-24/16,ImageNet,0.5424,0.4848,0.4651,0.433,0.4916,0.9408,0.4576,0.6458,0.3238,83.88,83.84,15.92
DINO,Xcit-M-24/8,ImageNet,0.4852,0.3848,0.3742,0.403,0.5172,0.8149,0.5034,0.8028,0.4187,83.81,83.77,62.69
DINOv2,ViT-S/14,LVD-142M,0.3976,0.4348,0.4114,0.5207,0.4865,0.7071,0.8288,0.9593,0.3271,22.06,21.52,5.52
DINOv2,ViT-B/14,LVD-142M,0.4286,0.5032,0.4898,0.7148,0.558,0.9216,0.8955,0.8514,0.3255,86.58,85.51,21.96
DINOv2,ViT-L/14,LVD-142M,0.5256,0.4843,0.5152,0.4934,0.5363,0.9493,0.7902,0.7968,0.3803,304.37,302.91,77.82
DINOv2,ViT-g/14,LVD-142M,0.4304,0.5198,0.5277,0.6687,0.4935,0.7856,0.853,0.8846,0.3127,1136.48,1134.25,291.4
DINOv2,ViT-S/14 + reg,LVD-142M,0.4508,0.4484,0.4254,0.4252,0.5201,0.6942,0.8484,0.9254,0.3415,22.06,21.52,5.61
DINOv2,ViT-B/14 + reg,LVD-142M,0.4408,0.518,0.4837,0.6488,0.5705,0.4752,0.9549,0.9539,0.2714,86.58,85.51,22.3
